time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
110;0;0;0;0;0;0;0;0;0;1;18;13;False
111;0;0;0;0;0;0;0;0;0;1;18;12;False
112;0;0;0;0;0;0;0;0;0;1;18;11;False
113;0;0;0;0;0;0;0;0;0;1;18;10;False
114;0;0;0;0;0;0;0;0;0;1;18;9;False
115;0;0;0;0;0;0;0;0;0;1;18;8;False
116;0;0;0;0;0;0;0;0;0;1;18;7;False
117;0;0;0;0;0;0;0;0;0;1;18;6;False
118;0;0;0;0;0;0;0;0;0;1;18;5;False
119;0;0;0;0;0;0;0;0;0;1;18;4;False
120;0;0;0;0;0;0;0;0;0;1;18;3;False
121;0;0;0;0;0;0;0;0;0;1;18;2;False
122;0;0;0;0;0;0;0;0;0;1;18;1;False
123;0;0;0;0;0;0;0;0;0;1;18;0;False
124;0;0;0;0;0;0;0;0;0;1;17;59;False
125;0;0;0;0;0;0;0;0;0;1;17;58;False
126;0;0;0;0;0;0;0;0;0;1;17;57;False
127;0;0;0;0;0;0;0;0;0;1;17;56;False
128;0;0;0;0;0;0;0;0;0;1;17;55;False
129;0;0;0;0;0;0;0;0;0;1;17;54;False
130;0;0;0;0;0;0;0;0;0;1;17;53;False
131;0;0;0;0;0;0;0;0;0;1;17;52;False
132;0;0;0;0;0;0;0;0;0;1;17;51;False
133;0;0;0;0;0;0;0;0;0;1;17;50;False
134;0;0;0;0;0;0;0;0;0;1;17;49;False
135;0;0;0;0;0;0;0;0;0;1;17;48;False
136;0;0;0;0;0;0;0;0;0;1;17;47;False
137;0;0;0;0;0;0;0;0;0;1;17;46;False
138;0;0;0;0;0;0;0;0;0;1;17;45;False
139;0;0;0;0;0;0;0;0;0;1;17;44;False
140;0;0;0;0;0;0;0;0;0;1;17;43;False
141;0;0;0;0;0;0;0;0;0;1;17;42;False
142;0;0;0;0;0;0;0;0;0;1;17;41;False
143;0;0;0;0;0;0;0;0;0;1;17;40;False
144;0;0;0;0;0;0;0;0;0;1;17;39;False
145;0;0;0;0;0;0;0;0;0;1;17;38;False
146;0;0;0;0;0;0;0;0;0;1;17;37;False
147;0;0;0;0;0;0;0;0;0;1;17;36;False
148;0;0;0;0;0;0;0;0;0;1;17;35;False
149;0;0;0;0;0;0;0;0;0;1;17;34;False
150;0;0;0;0;0;0;0;0;0;1;17;33;False
151;0;0;0;0;0;0;0;0;0;1;17;32;False
152;0;0;0;0;0;0;0;0;0;1;17;31;False
153;0;0;0;0;0;0;0;0;0;1;17;30;False
154;0;0;0;0;0;0;0;0;0;1;17;29;False
155;0;0;0;0;0;0;0;0;0;1;17;28;False
156;0;0;0;0;0;0;0;0;0;1;17;27;False
157;0;0;0;0;0;0;0;0;0;1;17;26;False
158;0;0;0;0;0;0;0;0;0;1;17;25;False
159;0;0;0;0;0;0;0;0;0;1;17;24;False
